DocumentId,Title,BodyText,ProposerCharacterId,DocumentType,DisasterId,DisasterStageId,TaskId,TaskStageId,IsRepeatable,Remark,OptionA_Text,OptionB_Text,OptionA_MoneyChange,OptionB_MoneyChange,OptionA_MaterialChange,OptionB_MaterialChange,OptionA_FoodChange,OptionB_FoodChange,OptionA_NobleSuspicionChange,OptionB_NobleSuspicionChange,OptionA_AcademySuspicionChange,OptionB_AcademySuspicionChange,OptionA_ChurchSuspicionChange,OptionB_ChurchSuspicionChange,OptionA_CivilianSuspicionChange,OptionB_CivilianSuspicionChange,OptionA_TaskScoreChange,OptionB_TaskScoreChange,OptionA_RequiredItemId,OptionB_RequiredItemId,OptionA_RequiredItemCount,OptionB_RequiredItemCount,OptionA_ConsumeItem,OptionB_ConsumeItem,OptionA_AddItemId,OptionB_AddItemId,OptionA_AddItemCount,OptionB_AddItemCount,OptionA_NextDocumentId,OptionB_NextDocumentId,OptionA_NextDocumentDelayRound,OptionB_NextDocumentDelayRound,OptionA_UnlockBuildingId,OptionB_UnlockBuildingId,OptionA_ResultText,OptionB_ResultText,OptionA_ProposerFeedbackText,OptionB_ProposerFeedbackText,OptionA_FeedbackFactionId,OptionB_FeedbackFactionId,OptionA_FactionFeedbackText,OptionB_FactionFeedbackText
document_relief_prepare,赈济仓拨付令,库房管事呈上一卷湿边账册，请求立刻拨出银钱与建材，先把第一批赈济车送到低洼街区。,character_steward,Task,disaster_flood_01,,task_demo_relief_01,task_stage_relief_prepare,false,中文公文流程测试,准拨仓储,暂缓复核,-5,0,-3,0,0,0,1,0,0,1,0,0,-2,3,1,-1,,,0,0,false,false,item_drainage_map,,1,0,document_relief_followup,,1,0,building_relief_depot,,第一批赈济车带着封印离开库房。,这份请求被退回，等待下一次复核。,管事低头领命，立刻派人去低洼街区。,管事收起印章，担心车队误时。,civilian,civilian,低洼街的居民听说粮车已经出发，质疑略降。,居民听说仓门未开，议论声更大。
document_relief_route,积水街道通行图,信使送来一张临时路线图，图上标出几处还能通行的石桥，请求在车队出发前盖印。,character_courier,Task,disaster_flood_01,,task_demo_relief_01,task_stage_relief_deliver,false,中文公文流程测试,按图放行,先派斥候,0,0,-1,0,-1,-2,0,1,-1,0,0,0,-1,1,1,0,item_drainage_map,,1,0,false,false,,item_food,0,1,,,0,0,,,车队按排水图绕开了最深的积水。,车队等待斥候，粮包被雨水浸坏一批。,信使接过路线批文，转身冲进雨里。,信使匆匆离开，脸色并不好看。,civilian,academy,居民看到车队赶在天黑前抵达。,学院记录了谨慎但昂贵的测绘过程。
document_relief_guard,赈济车护卫调令,库房管事询问是否调派守卫护送赈济车穿过市场路，那里已经有人争抢湿粮。,character_steward,Task,disaster_flood_01,,task_demo_relief_01,task_stage_relief_deliver,false,中文公文流程测试,派出护卫,守卫留堂,-2,0,0,0,0,0,-1,2,0,0,-1,1,0,2,1,-1,,,0,0,false,false,,,0,0,,,0,0,,,赈济车在护卫陪同下平安通过市场。,车队独自上路，几袋粮在市场口失踪。,管事记下护卫调令，松了一口气。,管事担心车队暴露在混乱街口。,noble,civilian,贵族巡逻队认可这次可见的秩序。,居民责怪议厅让赈济车孤身上路。
document_relief_followup,赈济回执,上一批仓储拨付的回执隔了一夜才送到，信使请求补登账册，避免明日清点出错。,character_courier,FollowUp,disaster_flood_01,,task_demo_relief_01,task_stage_relief_prepare,false,中文后续公文测试,补登回执,搁置回执,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,,,0,0,false,false,,,0,0,,,0,0,,,回执被补入账册，粮数终于对上。,回执被压在案角，无人细看。,信使把回执夹进账册，等候下一道命令。,信使把回执留在案上，神情尴尬。,civilian,civilian,居民看到账目变得清楚，质疑略降。,居民怀疑议厅在故意拖延账目。
document_flood_watch,河闸夜巡报告,守闸人报告低河闸夜间涨水，需要一支小队通宵看守，否则清晨可能来不及关闸。,character_courier,Disaster,disaster_flood_01,stage_warning,,,false,中文灾难公文测试,雇夜巡队,交给志愿者,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,,,0,0,false,false,,,0,0,,,0,0,,,夜巡队守到天亮，河闸没有失控。,志愿者半夜散去，闸口只剩两盏灯。,信使把夜巡名单钉在木板上。,信使记下没有雇队的决定。,civilian,church,闸口附近的居民终于睡得安稳些。,教会质疑议厅把危险交给临时人手。
document_market_notice,米价告示,市政小吏请求张贴一张中立米价告示，避免灾时商贩互相抬价引发争执。,character_steward,Global,,,,,false,中文全局公文测试,张贴告示,暂不张贴,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,,,0,0,false,false,,,0,0,,,0,0,,,米价告示贴在市场路口。,告示继续留在文夹里。,管事派小吏去市场公告板。,管事把告示收回等待修改。,civilian,civilian,居民交易前看到了价格，质疑略降。,居民继续为米价争吵。
document_market_roster,粥棚轮值表,小吏询问是否公布粥棚轮值表，让各街区知道今日由谁负责发粥。,character_steward,Global,,,,,false,中文全局公文测试,公布轮值,内部留存,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,,,0,0,false,false,,,0,0,,,0,0,,,轮值表贴在米价告示旁边。,轮值表仍锁在议厅抽屉里。,管事签下轮值表副本。,管事把轮值表归档。,civilian,civilian,居民知道该找谁领粥，质疑略降。,居民抱怨粥棚职责不透明。
document_flood_levee,北堤加固令,工程队报告北堤有一段土层松动，请求趁雨势尚轻调拨建材加固。,character_steward,Disaster,disaster_flood_01,stage_warning,,,false,中文灾难公文测试,调建材加固,延后复查,0,0,-1,0,0,0,0,0,-1,1,0,0,-1,1,0,0,,,0,0,false,false,,,0,0,,,0,0,,,建材被送往北堤，薄弱处先被压住。,北堤继续等待复查。,管事记录了北堤调拨令。,管事把北堤便条留在待办堆里。,civilian,academy,堤边工人看见议厅提前行动。,学院批评议厅轻视工程警告。
document_flood_shelter,庙厅避雨申请,庙祝请求打开一间偏厅收容被雨困住的人，但这会消耗一批食物和毯子。,character_courier,Disaster,disaster_flood_01,stage_warning,,,false,中文灾难公文测试,开放偏厅,保持关闭,0,0,0,0,-1,0,0,0,0,0,-1,1,-1,2,0,0,,,0,0,false,false,,,0,0,,,0,0,,,偏厅在傍晚前打开，湿透的人群有了落脚处。,偏厅继续关闭，人群挤在檐下。,信使带走了开厅许可。,信使没有拿到印章，只能回去复命。,civilian,church,居民在雨夜找到干燥地面，质疑略降。,教会反对议厅让庙厅继续关门。
document_flood_boats,民船登记簿,船夫请求登记私人小船，用于紧急渡人；贵族船主担心这会暴露自家船只。,character_courier,Disaster,disaster_flood_01,stage_warning,,,false,中文灾难公文测试,登记民船,维持私用,0,0,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,,,0,0,false,false,,,0,0,,,0,0,,,私人小船被标记为紧急渡口船。,船主们继续私下安排路线。,信使抄下船名和停靠点。,信使没有拿到登记簿。,civilian,noble,居民知道哪些船能安全渡人，质疑略降。,贵族船主不满议厅插手船只。
